model,mse,rmse,mae,r2,pearson_corr,p_value,mape
xgboost,78351.15233227242,279.91275843068036,137.94016132795042,0.8790274196743197,0.9383392466533383,0.0,10.97791878245012
random_forest,94609.37008647081,307.58636199687203,177.80933505028167,0.8539250632356888,0.9274702492205871,0.0,14.844894899961893
stacking_cv_ensemble,105043.49694384563,324.1041452123771,181.96248387983022,0.8378149842922525,0.920313681203879,0.0,14.796731288532913
stacking_ensemble,105043.49694384565,324.10414521237715,181.96248387983022,0.8378149842922524,0.920313681203879,0.0,14.796731288532913
blending_ensemble,125727.52574401497,354.5807746395946,196.25922334913542,0.8058792659141001,0.897727638407268,0.0,16.250993953542373
mlp,211303.85506231897,459.6779906220429,279.4688130433516,0.6737511597627972,0.8225893849004806,9.215499239754123e-242,23.7920753611
weighted_ensemble,2105838.8556170943,1451.150872796173,1207.5437476456239,-2.2513722202034288,0.8279486057348351,1.1942868583986147e-247,99.99999990296953
