,count,rmse,mae,mape,mean_true,mean_pred,bias,relative_bias
Multiple,260,304.29878707367413,149.02144994178184,11.98845644219779,1147.717730769231,1130.8658,-16.85188604266841,-1.468295347443472
Legs,249,228.16955815712035,130.9843604863791,10.161993972656132,1228.671325301205,1224.7568,-3.914489363704888,-0.31859532188116
Arms,229,280.34039177621713,140.68024628618397,12.257599582044154,1230.7886899563318,1211.9366,-18.852044448519337,-1.5317043942927524
Hips,220,302.66046192573396,133.77548848377575,9.809042202440818,1237.7532272727274,1209.1779,-28.575370827414872,-2.308648460596464
